example_idx,split,target_color,template_name,bbox_shape,input_color_pos,true_missing,true_full_variant,compatible_variant_count,compatible_variants,ambiguity_kind
214,arc-gen,2,corners,"(5, 5)","((0, 4), (2, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
215,arc-gen,4,corners,"(5, 5)","((4, 0),)","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
216,arc-gen,2,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
217,arc-gen,8,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
218,arc-gen,8,inner_diag,"(5, 5)","((1, 1),)","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
219,arc-gen,1,corners,"(5, 5)","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
220,arc-gen,3,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
221,arc-gen,3,edge_mid,"(5, 5)","((2, 2), (2, 4))","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
222,arc-gen,2,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
223,arc-gen,4,edge_mid,"(5, 5)","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
224,arc-gen,2,inner_diag,"(5, 5)","((0, 2), (1, 1), (2, 0), (2, 4), (4, 2))","((1, 3), (3, 1), (3, 3))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
225,arc-gen,2,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
226,arc-gen,2,corners,"(5, 5)","((4, 0),)","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
227,arc-gen,4,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
228,arc-gen,4,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
229,arc-gen,2,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
230,arc-gen,2,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 0), (2, 2), (4, 0), (4, 4))","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
231,arc-gen,1,inner_diag,"(5, 5)","((0, 0), (0, 4), (3, 1), (4, 0), (4, 4))","((1, 1), (1, 3), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
232,arc-gen,2,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
233,arc-gen,3,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
234,arc-gen,8,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
235,arc-gen,3,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
236,arc-gen,8,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
237,arc-gen,4,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
238,arc-gen,3,corners,"(5, 5)","((0, 4), (1, 1), (1, 3), (3, 1), (3, 3))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
239,arc-gen,4,inner_diag,"(5, 5)","((0, 0), (0, 4), (3, 1), (4, 0), (4, 4))","((1, 1), (1, 3), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
240,arc-gen,2,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
241,arc-gen,3,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
242,arc-gen,2,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
243,arc-gen,4,inner_diag,"(5, 5)","((3, 1),)","((1, 1), (1, 3), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
244,arc-gen,4,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
245,arc-gen,8,inner_diag,"(5, 5)","((0, 0), (0, 2), (0, 4), (1, 1), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
246,arc-gen,1,inner_diag,"(5, 5)","((1, 1),)","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
247,arc-gen,4,corners,"(5, 5)","((0, 2), (2, 0), (2, 4), (4, 2), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
248,arc-gen,8,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
249,arc-gen,8,inner_diag,"(5, 5)","((2, 2), (3, 3))","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
250,arc-gen,4,edge_mid,"(5, 5)","((0, 0), (0, 2), (0, 4), (2, 2), (4, 0), (4, 4))","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
251,arc-gen,4,edge_mid,"(5, 5)","((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))","((2, 0), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
252,arc-gen,1,edge_mid,"(5, 5)","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))","((0, 2), (2, 0), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
253,arc-gen,8,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
254,arc-gen,4,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
255,arc-gen,3,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
256,arc-gen,2,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
257,arc-gen,3,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
258,arc-gen,3,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
259,arc-gen,8,inner_diag,"(5, 5)","((0, 2), (1, 1), (2, 0), (2, 4), (4, 2))","((1, 3), (3, 1), (3, 3))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
260,arc-gen,1,corners,"(5, 5)","((0, 2), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 2), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
261,arc-gen,1,corners,"(5, 5)","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
262,arc-gen,8,edge_mid,"(5, 5)","((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
263,arc-gen,1,edge_mid,"(5, 5)","((0, 0), (0, 4), (1, 1), (1, 3), (2, 0), (3, 1), (3, 3), (4, 0), (4, 4))","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
264,arc-gen,3,corners,"(5, 5)","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
265,arc-gen,1,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
