idx,out_color,binary,colorized,features
180,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 0}"
181,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 9, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 4, 'bbox_br': 3, 'bbox_center': 7}"
182,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 2, 'bbox_br': 7, 'bbox_center': 0}"
183,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 1, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 9, 'bbox_center': 7}"
184,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 1, 'bbox_center': 0}"
185,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0}"
186,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 5, 'bbox_br': 3, 'bbox_center': 0}"
187,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 5, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 6}"
188,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 4, 'bbox_center': 0}"
189,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 2, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 2, 'bbox_br': 7, 'bbox_center': 7}"
190,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 3, 'bbox_center': 0}"
191,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 9, 'bbox_bl': 6, 'bbox_br': 9, 'bbox_center': 0}"
192,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
193,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 0}"
194,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
195,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 4, 'bbox_bl': 1, 'bbox_br': 7, 'bbox_center': 0}"
196,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 7, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 2, 'bbox_center': 3}"
197,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 4, 'bbox_br': 1, 'bbox_center': 2}"
198,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 9}"
199,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
200,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 2, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 6}"
201,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 6, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 3}"
202,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 3, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 6, 'bbox_bl': 8, 'bbox_br': 2, 'bbox_center': 6}"
203,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 2, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 1, 'bbox_bl': 8, 'bbox_br': 1, 'bbox_center': 3}"
204,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 7, 'bbox_bl': 1, 'bbox_br': 9, 'bbox_center': 0}"
205,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 7, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 4, 'bbox_bl': 1, 'bbox_br': 5, 'bbox_center': 4}"
206,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 7, 'bbox_br': 6, 'bbox_center': 0}"
207,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 1, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 6}"
208,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 7, 'bbox_br': 5, 'bbox_center': 0}"
209,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 1, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 0}"
210,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 8, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 6}"
211,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 3, 'bbox_bl': 2, 'bbox_br': 3, 'bbox_center': 0}"
212,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 5, 'bbox_br': 6, 'bbox_center': 0}"
213,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
214,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 2, 'bbox_center': 0}"
215,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 0}"
216,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 3, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0}"
217,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 2, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 0}"
218,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 9, 'bbox_center': 0}"
219,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
220,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 1, 'bbox_center': 0}"
221,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 3}"
222,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 3, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 7}"
223,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 0}"
224,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 5, 'bbox_br': 3, 'bbox_center': 0}"
225,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 1, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 2, 'bbox_bl': 1, 'bbox_br': 3, 'bbox_center': 2}"
226,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 8, 'bbox_bl': 4, 'bbox_br': 5, 'bbox_center': 0}"
227,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 7, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
228,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 3, 'bbox_br': 2, 'bbox_center': 0}"
229,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 8, 'bbox_bl': 3, 'bbox_br': 9, 'bbox_center': 0}"
230,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 0}"
231,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 5, 'bbox_bl': 8, 'bbox_br': 5, 'bbox_center': 0}"
232,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 5, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 3, 'bbox_br': 4, 'bbox_center': 4}"
233,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
234,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 8, 'bbox_bl': 3, 'bbox_br': 8, 'bbox_center': 0}"
235,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 0}"
236,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 4, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 2}"
237,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 4, 'bbox_bl': 9, 'bbox_br': 2, 'bbox_center': 0}"
238,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 1, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 8, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 6}"
239,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 9, 'bbox_bl': 3, 'bbox_br': 9, 'bbox_center': 9}"
240,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 6, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
241,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 9, 'bbox_bl': 2, 'bbox_br': 1, 'bbox_center': 0}"
242,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 6}"
243,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 1, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 7, 'bbox_center': 5}"
244,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 3, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
245,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 3, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 8, 'bbox_center': 3}"
246,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 6, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 2, 'bbox_br': 1, 'bbox_center': 2}"
247,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
248,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 9, 'bbox_bl': 8, 'bbox_br': 9, 'bbox_center': 7}"
249,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 2, 'bbox_bl': 8, 'bbox_br': 2, 'bbox_center': 8}"
250,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 0}"
251,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 6, 'bbox_center': 0}"
252,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 6, 'bbox_bl': 1, 'bbox_br': 4, 'bbox_center': 0}"
253,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 8, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
254,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 9, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
255,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 2, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 2, 'bbox_bl': 8, 'bbox_br': 9, 'bbox_center': 8}"
256,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 0}"
257,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 5, 'bbox_center': 0}"
258,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 2, 'bbox_center': 0}"
259,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 8, 'bbox_br': 7, 'bbox_center': 0}"
260,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 3, 'bbox_bl': 1, 'bbox_br': 2, 'bbox_center': 0}"
261,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 9, 'bbox_br': 6, 'bbox_center': 0}"
262,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 4, 'bbox_center': 0}"
263,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 2, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 3}"
264,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
265,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 2}"
266,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 9, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 0}"
