idx,output_color,template,features
124,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 5, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 3, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 5, 'bbox_bl': 3, 'bbox_br': 0, 'bbox_center': 0, 'color3_count': 26, 'color3_bbox_h': 9, 'color3_bbox_w': 6, 'color5_count': 18, 'color5_bbox_h': 8, 'color5_bbox_w': 3}"
125,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 3, 'tl': 1, 'tr': 0, 'bl': 1, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 0, 'bbox_bl': 1, 'bbox_br': 0, 'bbox_center': 0, 'color1_count': 24, 'color1_bbox_h': 10, 'color1_bbox_w': 4, 'color3_count': 20, 'color3_bbox_h': 7, 'color3_bbox_w': 5}"
126,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 1, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 1, 'bl': 7, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 1, 'bbox_bl': 7, 'bbox_br': 0, 'bbox_center': 0, 'color1_count': 22, 'color1_bbox_h': 8, 'color1_bbox_w': 5, 'color7_count': 22, 'color7_bbox_h': 9, 'color7_bbox_w': 4}"
127,5,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 3, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 0, 'bbox_br': 3, 'bbox_center': 0, 'color3_count': 8, 'color3_bbox_h': 3, 'color3_bbox_w': 3, 'color5_count': 22, 'color5_bbox_h': 6, 'color5_bbox_w': 7}"
128,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 5, 'bbox_center': 0, 'color1_count': 24, 'color1_bbox_h': 7, 'color1_bbox_w': 7, 'color5_count': 12, 'color5_bbox_h': 5, 'color5_bbox_w': 3}"
129,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 0, 'bbox_bl': 7, 'bbox_br': 5, 'bbox_center': 0, 'color5_count': 10, 'color5_bbox_h': 3, 'color5_bbox_w': 4, 'color7_count': 24, 'color7_bbox_h': 8, 'color7_bbox_w': 6}"
130,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 7, 'tr': 7, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 0, 'bbox_br': 0, 'bbox_center': 0, 'color3_count': 10, 'color3_bbox_h': 3, 'color3_bbox_w': 4, 'color7_count': 30, 'color7_bbox_h': 7, 'color7_bbox_w': 10}"
131,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 8, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 0, 'bbox_br': 8, 'bbox_center': 0, 'color7_count': 22, 'color7_bbox_h': 6, 'color7_bbox_w': 7, 'color8_count': 12, 'color8_bbox_h': 3, 'color8_bbox_w': 5}"
132,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 4, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 3, 'br': 3, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 4, 'color3_count': 26, 'color3_bbox_h': 5, 'color3_bbox_w': 10, 'color4_count': 20, 'color4_bbox_h': 5, 'color4_bbox_w': 7}"
133,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 2, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 2, 'bbox_tl': 9, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 2, 'bbox_center': 0, 'color2_count': 10, 'color2_bbox_h': 3, 'color2_bbox_w': 4, 'color9_count': 18, 'color9_bbox_h': 5, 'color9_bbox_w': 6}"
134,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 4, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 1, 'bbox_bl': 4, 'bbox_br': 0, 'bbox_center': 0, 'color1_count': 16, 'color1_bbox_h': 6, 'color1_bbox_w': 4, 'color4_count': 20, 'color4_bbox_h': 9, 'color4_bbox_w': 3}"
135,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 1, 'tl': 1, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 0, 'bbox_bl': 1, 'bbox_br': 8, 'bbox_center': 0, 'color1_count': 26, 'color1_bbox_h': 9, 'color1_bbox_w': 6, 'color8_count': 10, 'color8_bbox_h': 4, 'color8_bbox_w': 3}"
136,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 4, 'bbox_tl': 7, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 4, 'bbox_center': 7, 'color4_count': 12, 'color4_bbox_h': 4, 'color4_bbox_w': 4, 'color7_count': 20, 'color7_bbox_h': 7, 'color7_bbox_w': 5}"
137,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 7, 'bl': 9, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 7, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 0, 'color7_count': 18, 'color7_bbox_h': 8, 'color7_bbox_w': 3, 'color9_count': 24, 'color9_bbox_h': 7, 'color9_bbox_w': 7}"
138,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 1, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 8, 'color1_count': 20, 'color1_bbox_h': 5, 'color1_bbox_w': 7, 'color8_count': 12, 'color8_bbox_h': 5, 'color8_bbox_w': 3}"
139,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 5, 'bl': 8, 'br': 8, 'bbox_tl': 0, 'bbox_tr': 5, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 5, 'color5_count': 24, 'color5_bbox_h': 5, 'color5_bbox_w': 9, 'color8_count': 26, 'color8_bbox_h': 5, 'color8_bbox_w': 10}"
140,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 5, 'bbox_tl': 8, 'bbox_tr': 0, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0, 'color5_count': 20, 'color5_bbox_h': 3, 'color5_bbox_w': 9, 'color8_count': 24, 'color8_bbox_h': 7, 'color8_bbox_w': 7}"
141,6,"(1, 1, 1, 1)","{'mode_nz': 6, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 6, 'tr': 0, 'bl': 0, 'br': 3, 'bbox_tl': 6, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 3, 'bbox_center': 0, 'color3_count': 16, 'color3_bbox_h': 3, 'color3_bbox_w': 7, 'color6_count': 28, 'color6_bbox_h': 7, 'color6_bbox_w': 9}"
142,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 6, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 6, 'bbox_bl': 0, 'bbox_br': 6, 'bbox_center': 0, 'color6_count': 20, 'color6_bbox_h': 9, 'color6_bbox_w': 3, 'color7_count': 24, 'color7_bbox_h': 7, 'color7_bbox_w': 7}"
143,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 4, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 4, 'bl': 9, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 4, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 0, 'color4_count': 16, 'color4_bbox_h': 5, 'color4_bbox_w': 5, 'color9_count': 18, 'color9_bbox_h': 5, 'color9_bbox_w': 6}"
144,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 1, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 1, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 1, 'color1_count': 18, 'color1_bbox_h': 6, 'color1_bbox_w': 5, 'color9_count': 18, 'color9_bbox_h': 4, 'color9_bbox_w': 7}"
145,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 4, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 4, 'color3_count': 18, 'color3_bbox_h': 3, 'color3_bbox_w': 8, 'color4_count': 14, 'color4_bbox_h': 4, 'color4_bbox_w': 5}"
146,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 9, 'tr': 0, 'bl': 0, 'br': 3, 'bbox_tl': 9, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 3, 'bbox_center': 0, 'color3_count': 8, 'color3_bbox_h': 3, 'color3_bbox_w': 3, 'color9_count': 28, 'color9_bbox_h': 9, 'color9_bbox_w': 7}"
147,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 6, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 3, 'bbox_center': 0, 'color3_count': 24, 'color3_bbox_h': 7, 'color3_bbox_w': 7, 'color6_count': 10, 'color6_bbox_h': 4, 'color6_bbox_w': 3}"
148,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 6, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 6, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 6, 'color2_count': 22, 'color2_bbox_h': 3, 'color2_bbox_w': 10, 'color6_count': 18, 'color6_bbox_h': 4, 'color6_bbox_w': 7}"
149,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 1, 'bl': 5, 'br': 1, 'bbox_tl': 0, 'bbox_tr': 1, 'bbox_bl': 5, 'bbox_br': 1, 'bbox_center': 0, 'color1_count': 24, 'color1_bbox_h': 10, 'color1_bbox_w': 4, 'color5_count': 16, 'color5_bbox_h': 4, 'color5_bbox_w': 6}"
150,3,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 2, 'tr': 0, 'bl': 3, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 3, 'bbox_br': 0, 'bbox_center': 3, 'color2_count': 22, 'color2_bbox_h': 4, 'color2_bbox_w': 9, 'color3_count': 22, 'color3_bbox_h': 6, 'color3_bbox_w': 7}"
151,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 1, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 0, 'bbox_bl': 1, 'bbox_br': 0, 'bbox_center': 0, 'color1_count': 24, 'color1_bbox_h': 7, 'color1_bbox_w': 7, 'color5_count': 8, 'color5_bbox_h': 3, 'color5_bbox_w': 3}"
152,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 2, 'tr': 2, 'bl': 9, 'br': 9, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 9, 'color2_count': 24, 'color2_bbox_h': 4, 'color2_bbox_w': 10, 'color9_count': 28, 'color9_bbox_h': 6, 'color9_bbox_w': 10}"
153,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0, 'color2_count': 22, 'color2_bbox_h': 3, 'color2_bbox_w': 10, 'color5_count': 14, 'color5_bbox_h': 3, 'color5_bbox_w': 6}"
154,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 4, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 6, 'bbox_br': 0, 'bbox_center': 4, 'color4_count': 24, 'color4_bbox_h': 5, 'color4_bbox_w': 9, 'color6_count': 16, 'color6_bbox_h': 3, 'color6_bbox_w': 7}"
155,6,"(1, 1, 1, 1)","{'mode_nz': 6, 'least_nz': 8, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 6, 'bbox_bl': 0, 'bbox_br': 6, 'bbox_center': 8, 'color6_count': 18, 'color6_bbox_h': 8, 'color6_bbox_w': 3, 'color8_count': 12, 'color8_bbox_h': 4, 'color8_bbox_w': 4}"
156,3,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 7, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 0, 'bbox_bl': 7, 'bbox_br': 0, 'bbox_center': 3, 'color3_count': 18, 'color3_bbox_h': 6, 'color3_bbox_w': 5, 'color7_count': 20, 'color7_bbox_h': 9, 'color7_bbox_w': 3}"
157,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 5, 'tr': 0, 'bl': 5, 'br': 9, 'bbox_tl': 5, 'bbox_tr': 0, 'bbox_bl': 5, 'bbox_br': 9, 'bbox_center': 9, 'color5_count': 22, 'color5_bbox_h': 10, 'color5_bbox_w': 3, 'color9_count': 26, 'color9_bbox_h': 9, 'color9_bbox_w': 6}"
158,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 2, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 9, 'bbox_bl': 2, 'bbox_br': 0, 'bbox_center': 2, 'color2_count': 22, 'color2_bbox_h': 8, 'color2_bbox_w': 5, 'color9_count': 18, 'color9_bbox_h': 7, 'color9_bbox_w': 4}"
159,2,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 1, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 2, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 2, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 2, 'color1_count': 22, 'color1_bbox_h': 3, 'color1_bbox_w': 10, 'color2_count': 22, 'color2_bbox_h': 4, 'color2_bbox_w': 9}"
160,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 1, 'bbox_bl': 8, 'bbox_br': 0, 'bbox_center': 1, 'color1_count': 16, 'color1_bbox_h': 4, 'color1_bbox_w': 6, 'color8_count': 10, 'color8_bbox_h': 3, 'color8_bbox_w': 4}"
161,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 7, 'br': 7, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 5, 'color5_count': 22, 'color5_bbox_h': 5, 'color5_bbox_w': 8, 'color7_count': 26, 'color7_bbox_h': 5, 'color7_bbox_w': 10}"
162,5,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 1, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 1, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 5, 'bbox_bl': 1, 'bbox_br': 0, 'bbox_center': 0, 'color1_count': 14, 'color1_bbox_h': 3, 'color1_bbox_w': 6, 'color5_count': 18, 'color5_bbox_h': 7, 'color5_bbox_w': 4}"
163,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 5, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 4, 'bbox_bl': 0, 'bbox_br': 4, 'bbox_center': 0, 'color4_count': 24, 'color4_bbox_h': 10, 'color4_bbox_w': 4, 'color5_count': 10, 'color5_bbox_h': 4, 'color5_bbox_w': 3}"
164,9,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 9, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 9, 'bl': 5, 'br': 5, 'bbox_tl': 0, 'bbox_tr': 9, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 9, 'color5_count': 22, 'color5_bbox_h': 3, 'color5_bbox_w': 10, 'color9_count': 20, 'color9_bbox_h': 6, 'color9_bbox_w': 6}"
165,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 8, 'bbox_bl': 0, 'bbox_br': 8, 'bbox_center': 8, 'color1_count': 14, 'color1_bbox_h': 6, 'color1_bbox_w': 3, 'color8_count': 24, 'color8_bbox_h': 9, 'color8_bbox_w': 5}"
166,5,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 3, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 3, 'bbox_bl': 5, 'bbox_br': 0, 'bbox_center': 5, 'color3_count': 10, 'color3_bbox_h': 3, 'color3_bbox_w': 4, 'color5_count': 16, 'color5_bbox_h': 5, 'color5_bbox_w': 5}"
167,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 7, 'mode_all': 0, 'center': 7, 'tl': 8, 'tr': 0, 'bl': 0, 'br': 7, 'bbox_tl': 8, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 7, 'bbox_center': 8, 'color7_count': 18, 'color7_bbox_h': 5, 'color7_bbox_w': 6, 'color8_count': 22, 'color8_bbox_h': 5, 'color8_bbox_w': 8}"
168,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 7, 'bbox_tl': 9, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 7, 'bbox_center': 7, 'color7_count': 22, 'color7_bbox_h': 6, 'color7_bbox_w': 7, 'color9_count': 14, 'color9_bbox_h': 3, 'color9_bbox_w': 6}"
169,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 7, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 9, 'bbox_center': 0, 'color7_count': 16, 'color7_bbox_h': 3, 'color7_bbox_w': 7, 'color9_count': 14, 'color9_bbox_h': 6, 'color9_bbox_w': 3}"
170,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'center': 8, 'tl': 5, 'tr': 8, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 8, 'bbox_bl': 0, 'bbox_br': 8, 'bbox_center': 0, 'color5_count': 16, 'color5_bbox_h': 6, 'color5_bbox_w': 4, 'color8_count': 22, 'color8_bbox_h': 8, 'color8_bbox_w': 5}"
171,5,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 8, 'color5_count': 22, 'color5_bbox_h': 3, 'color5_bbox_w': 10, 'color8_count': 12, 'color8_bbox_h': 5, 'color8_bbox_w': 3}"
172,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 2, 'tr': 0, 'bl': 6, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 6, 'bbox_br': 0, 'bbox_center': 0, 'color2_count': 28, 'color2_bbox_h': 7, 'color2_bbox_w': 9, 'color6_count': 16, 'color6_bbox_h': 3, 'color6_bbox_w': 7}"
173,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 1, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 0, 'bbox_br': 1, 'bbox_center': 0, 'color1_count': 8, 'color1_bbox_h': 3, 'color1_bbox_w': 3, 'color4_count': 22, 'color4_bbox_h': 6, 'color4_bbox_w': 7}"
174,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 6, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 8, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 6, 'bbox_bl': 8, 'bbox_br': 0, 'bbox_center': 8, 'color6_count': 12, 'color6_bbox_h': 5, 'color6_bbox_w': 3, 'color8_count': 22, 'color8_bbox_h': 9, 'color8_bbox_w': 4}"
175,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 4, 'tr': 0, 'bl': 0, 'br': 1, 'bbox_tl': 4, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 1, 'bbox_center': 0, 'color1_count': 16, 'color1_bbox_h': 3, 'color1_bbox_w': 7, 'color4_count': 18, 'color4_bbox_h': 8, 'color4_bbox_w': 3}"
176,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 5, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 9, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 9, 'bbox_bl': 5, 'bbox_br': 0, 'bbox_center': 0, 'color5_count': 18, 'color5_bbox_h': 7, 'color5_bbox_w': 4, 'color9_count': 20, 'color9_bbox_h': 7, 'color9_bbox_w': 5}"
177,6,"(1, 1, 1, 1)","{'mode_nz': 6, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 3, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 0, 'color3_count': 8, 'color3_bbox_h': 3, 'color3_bbox_w': 3, 'color6_count': 12, 'color6_bbox_h': 3, 'color6_bbox_w': 5}"
178,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 9, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 9, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 9, 'bbox_bl': 4, 'bbox_br': 9, 'bbox_center': 4, 'color4_count': 18, 'color4_bbox_h': 4, 'color4_bbox_w': 7, 'color9_count': 14, 'color9_bbox_h': 6, 'color9_bbox_w': 3}"
179,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 2, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 6, 'bbox_bl': 0, 'bbox_br': 6, 'bbox_center': 2, 'color2_count': 24, 'color2_bbox_h': 9, 'color2_bbox_w': 5, 'color6_count': 22, 'color6_bbox_h': 10, 'color6_bbox_w': 3}"
180,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 8, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 8, 'bbox_bl': 2, 'bbox_br': 0, 'bbox_center': 8, 'color2_count': 14, 'color2_bbox_h': 5, 'color2_bbox_w': 4, 'color8_count': 18, 'color8_bbox_h': 5, 'color8_bbox_w': 6}"
181,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 3, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 2, 'bbox_bl': 3, 'bbox_br': 0, 'bbox_center': 0, 'color2_count': 18, 'color2_bbox_h': 7, 'color2_bbox_w': 4, 'color3_count': 16, 'color3_bbox_h': 7, 'color3_bbox_w': 3}"
182,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 2, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 0, 'bbox_br': 0, 'bbox_center': 0, 'color2_count': 28, 'color2_bbox_h': 7, 'color2_bbox_w': 9, 'color7_count': 8, 'color7_bbox_h': 3, 'color7_bbox_w': 3}"
183,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 7, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 7, 'bbox_bl': 3, 'bbox_br': 0, 'bbox_center': 0, 'color3_count': 16, 'color3_bbox_h': 7, 'color3_bbox_w': 3, 'color7_count': 14, 'color7_bbox_h': 6, 'color7_bbox_w': 3}"
184,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 2, 'bbox_bl': 7, 'bbox_br': 0, 'bbox_center': 0, 'color2_count': 12, 'color2_bbox_h': 5, 'color2_bbox_w': 3, 'color7_count': 26, 'color7_bbox_h': 8, 'color7_bbox_w': 7}"
185,5,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 4, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 5, 'bbox_tl': 4, 'bbox_tr': 0, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 4, 'color4_count': 18, 'color4_bbox_h': 6, 'color4_bbox_w': 5, 'color5_count': 22, 'color5_bbox_h': 4, 'color5_bbox_w': 9}"
